date,Content,Likes,Retweet
2020-12-30 19:49:23+00:00,@Erdayastronaut Might be a few lumps along the way,4402,83
2020-12-30 18:31:31+00:00,"@Erdayastronaut @flcnhvy @ErcXspace Production is hard, prototypes are easy. Building ~1000 Starships to create a self-sustaining city on Mars is our mission.",7436,569
2020-12-30 18:18:12+00:00,@ICannot_Enough @AloysiusFekete @RationalEtienne @biogirl09 @ErcXspace Exactly,1637,46
2020-12-30 18:15:27+00:00,@RexChapman Haha,8520,145
2020-12-30 18:09:24+00:00,@Erdayastronaut @flcnhvy @ErcXspace SN9 will press CH4 header tank with helium. Long-term solution is under debate. Not clear what is lightest/simplest.,4008,180
2020-12-30 18:07:40+00:00,@flabellina212 @RationalEtienne @biogirl09 @ErcXspace Yes,969,21
2020-12-30 18:07:31+00:00,"@RationalEtienne @biogirl09 @ErcXspace Legs would certainly work, but best part is no part, best step is no step",2824,144
2020-12-30 18:00:33+00:00,@flcnhvy @ErcXspace Yes,1462,35
2020-12-30 18:00:26+00:00,@flcnhvy @ErcXspace Saves mass &amp; cost of legs &amp; enables immediate repositioning of booster on to launch mount — ready to refly in under an hour,4679,209
2020-12-30 17:01:28+00:00,"@ErcXspace We’re going to try to catch the Super Heavy Booster with the launch tower arm, using the grid fins to take the load",9255,714
2020-12-30 09:51:07+00:00,Snake-head dog had my undivided attention until winder-head ostrich came gliding through all nonchalant https://t.co/dtPMdM3TQp,92636,3939
2020-12-30 09:24:36+00:00,@Tesmanian_com This is very sensible. Opposition from anywhere cannot mean no progress everywhere!,3965,149
2020-12-30 09:16:50+00:00,@harsimranbansal Literally,2767,46
2020-12-30 07:57:09+00:00,@tobyliiiiiiiiii Are we sure this is real?,6717,242
2020-12-30 05:33:19+00:00,"Destiny, destiny
No escaping 
that for me",142590,10213
2020-12-29 22:16:14+00:00,All Tesla cars delivered in the final three days of the year will get three months of the Full Self-Driving option for free. Delivery &amp; docs must be fully complete by midnight Dec 31st.,67400,3155
